Headword,Definition,Part of Speech,Semantic Group,Frequency Rank
praesēns -ntis,"present, in person, ready",Adjective: 3rd Declension,Place,822.00
praesidium -ī n.,"garrison, protection",Noun: 2nd Declension,War and Peace,582.00
praestō -stāre -stitī -stitum,"excel, exhibit",Verb: 1st Conjugation,Other Senses,423.00
praeter,"by, along, past; besides, except (+ acc.)",Preposition,Place,756.00
praetereā,"besides, moreover",Adverb,Conjunctions/Adverbs,681.00
praetor -ōris m.,"praetor, one of the chief Roman magistrates",Noun: 3rd Declension,The City,878.00
precor -ārī,"pray, invoke",Verb: Deponent,Religion,492.00
premō premere pressī pressum,"press, pursue, overwhelm",Verb: 3rd Conjugation -ō,War and Peace,240.00
pretium -ī n.,"price, worth, reward; pretium operae: a reward for trouble",Noun: 2nd Declension,Business/Money,629.00
prex precis f.,"prayers, entreaties",Noun: 3rd Declension,Religion,520.00
prīmum,"at first, firstly",Adverb,Time,252.00
prīmus -a -um,first,Adjective: 1st and 2nd Declension,Time,91.00
prīnceps -cipis,"first, chief; (as subst.) leader, person in charge",Adjective: 3rd Declension,The City,317.00
prīncipium -ī n.,beginning,Noun: 2nd Declension,Time,948.00
prior prius,"earlier, preceding",Adjective: 3rd Declension,Time,526.00
prīvātus -a -um,"personal, private",Adjective: 1st and 2nd Declension,Social Life,882.00
prius or priusquam,before,Adverb,Time,484.00
prō,"for, on behalf of, in proportion to (+abl.)",Preposition,Non-Directional Prepositions,128.00
probō -āre,"approve, prove; convince one (dat.) of a thing (acc.)",Verb: 1st Conjugation,Verbs of Compelling/Directing,784.00
prōcēdō -cēdere -cessī -cessum,"go forth, advance",Verb: 3rd Conjugation -ō,Motion,746.00
procul,at a distance,Adverb,Place,397.00
prōdō prōdere prōdidī prōditum,"publish, hand down; give over, betray",Verb: 3rd Conjugation -ō,Verbs of Transport,929.00
proelium -ī n.,battle,Noun: 2nd Declension,War and Peace,348.00
proficīscor -ficīscī -fectus sum,"set forth, go",Verb: Deponent,Travel,835.00
prohibeō -ēre -uī -itum,"restrain, keep away",Verb: 2nd Conjugation,Verbs of Compelling/Directing,604.00
prōmittō -mittere -mīsī -missum,"send forth, offer",Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing,720.00
prope,"near, next; (comp.) propior, (superl.) proximus; (adv.) prope, nearly, almost",Preposition,Place,189.00
properō -āre,"hasten, speed",Verb: 1st Conjugation,Motion,537.00
prōpōnō -pōnere -posuī -positum,"put forth, propose, present",Verb: 3rd Conjugation -ō,Speech/Oratory,930.00
proprius -a -um,"one’s own, peculiar",Adjective: 1st and 2nd Declension,Pronouns/Interrogatives,854.00
propter,because of (+ acc.),Preposition,Non-Directional Prepositions,560.00
prōsum prodesse profuī,"be of use, do good, help (+ dat.)",Verb: Irregular,Social Life,373.00
prōtinus,"at once, forthwith",Adverb,Time,903.00
prōvincia -ae f.,province; official duty,Noun: 1st Declension,The City,620.00
pūblicus -a -um,"public, belonging to the state",Adjective: 1st and 2nd Declension,The City,517.00
pudor pudōris m.,"sense of shame, modesty, propriety",Noun: 3rd Declension,Personality Traits/Characteristics,616.00
puella -ae f.,girl; girl-friend,Noun: 1st Declension,People,233.00
puer puerī m.,boy; slave,Noun: 2nd Declension,People,191.00
pūgna -ae f.,fist-fight; battle,Noun: 1st Declension,Violence,650.00
pugnō -āre,fight,Verb: 1st Conjugation,Violence,708.00
pulcher -chra -chrum,beautiful,Adjective: 1st and 2nd Declension,Vision,569.00
putō -āre,"think, suppose",Verb: 1st Conjugation,Education/Knowledge,166.00
quā,"where, how",Pronoun,Pronouns/Interrogatives,336.00
quaerō -rere -sīvī -sītum,"seek, inquire",Verb: 3rd Conjugation -ō,Education/Knowledge,113.00
quālis -e,of what kind? what?,Pronoun,Pronouns/Interrogatives,263.00
quam,how?; (after comparative) than,Adverb,Pronouns/Interrogatives,29.00
quamquam,"however, although",Conjunction,Conjunctions/Adverbs,644.00
quamvīs,however you like; although,Adverb,Conjunctions/Adverbs,489.00
quandō,when?; since; sī quandō: if ever,Adverb,Pronouns/Interrogatives,621.00
quantum,(adv.) how much? how greatly? how much! how greatly! as much as,Adverb,Pronouns/Interrogatives,557.00
quantus -a -um,"(interr.) how great? (rel.) of what size, amount, etc. (as subst.) what amount? (rel.) which amount; quantī, at what price? (rel.) at which price",Pronoun,Pronouns/Interrogatives,311.00
quārē,how? why?,Adverb,Pronouns/Interrogatives,786.00
quasi,as if,Adverb,Conjunctions/Adverbs,938.00
quattuor,four,Adjective: Numeral,Measurement,867.00
que,and (postpositive enclitic),Conjunction,Conjunctions/Adverbs,4.00
quemadmodum,"in what manner, how",Adverb,Pronouns/Interrogatives,531.00
queror querī questus sum,"complain of, lament",Verb: Deponent,Emotions,518.00
quī quae quod,"who, which, what",Pronoun,Pronouns/Interrogatives,3.00
quia,because,Conjunction,Conjunctions/Adverbs,132.00
quīcumque quaecumque quodcumque,"who-, whatever",Pronoun,Pronouns/Interrogatives,284.00
quīdam quaedam quoddam,"a certain one, someone",Pronoun,Pronouns/Interrogatives,126.00
quidem,"certainly, at least",Adverb,Conjunctions/Adverbs,136.00
quiēscō quiēscere quiēvī quiētum,keep quiet; sleep,Verb: 3rd Conjugation -ō,Life and Being,969.00
quīn,"(adv.) indeed, in fact; (conjunction) so that ... not (+ subj.)",Adverb,Conjunctions/Adverbs,456.00
quīppe,"(adv.) indeed, surely",Adverb,Conjunctions/Adverbs,499.00
quis quid,who? what? which?,Pronoun,Pronouns/Interrogatives,212.00
quisquam quicquam/quidquam,"any (single) person, anyone at all",Pronoun,Pronouns/Interrogatives,280.00
quisque quaeque quidque,"each one, everyone",Pronoun,Pronouns/Interrogatives,197.00
quisquis quidquid,"whoever, whichever",Pronoun,Pronouns/Interrogatives,129.00
quō,"for which reason; to or in what place; to what end, for what purpose?",Adverb,Pronouns/Interrogatives,305.00
quōmodo,"in what way, how?",Conjunction,Pronouns/Interrogatives,831.00
quondam,"formerly, once",Adverb,Time,542.00
quoniam,"since, seeing that",Conjunction,Conjunctions/Adverbs,510.00
quoque,"also, too",Conjunction,Conjunctions/Adverbs,76.00
quotiēns,"interr. how many times? how often? rel. as often as, whenever",Adverb,Pronouns/Interrogatives,970.00
rapiō rapere rapuī raptum,"seize, tear away",Verb: 3rd Conjugation -iō,Violence,273.00
rārus -a -um,"wide apart, loose, thin; rare, seldom",Adjective: 1st and 2nd Declension,Measurement,752.00
ratiō -ōnis f.,"method, plan, reason",Noun: 3rd Declension,Education/Knowledge,256.00
recēdō -cēdere -cessī -cessum,"step back, recoil, recede, withdraw",Verb: 3rd Conjugation -ō,Motion,826.00
recēns -ntis,"fresh, new",Adjective: 3rd Declension,Time,781.00
recipiō -cipere -cēpī -ceptum,"take back, receive; sē recipere, betake oneself, go",Verb: 3rd Conjugation -iō,Verbs of Transport,319.00
rēctus -a -um,"straight, direct",Adjective: 1st and 2nd Declension,Measurement,823.00
reddō -dere -didī -ditum,"return, give back",Verb: 3rd Conjugation -ō,Verbs of Transport,174.00
redeō -īre -iī -itum,"go back, return",Verb: Irregular,Motion,301.00
referō referre rettulī relātum,bring back; report,Verb: Irregular,Verbs of Transport,171.00
regiō -ōnis f.,"boundary, region",Noun: 3rd Declension,Geography,585.00
rēgius -a -um,"kingly, royal",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,561.00
rēgnum -ī n.,"kingship, kingdom",Noun: 2nd Declension,Geography,121.00
regō regere rēxī rēctum,"guide, rule",Verb: 3rd Conjugation -ō,The City,554.00
relinquō -linquere -līquī -lictum,abandon,Verb: 3rd Conjugation -ō,Motion,144.00
reliquus -a -um,"remaining, rest",Adjective: 1st and 2nd Declension,Measurement,788.00
reor rērī rātus sum,"think, imagine, suppose, deem",Verb: Deponent,Education/Knowledge,774.00
reperiō -perīre -pperī -pertum,"find, find out",Verb: 4th Conjugation,Education/Knowledge,765.00
repetō -petere -petīvī -petītum,"demand, exact; revisit; call to mind, recollect; repeat",Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing,651.00
rēs reī f.,"thing (rēs pūblica, commonwealth; rēs familiāris, family property, estate; rēs mīlitāris, art of war; rēs novae, revolution)",Noun: 5th Declension,Life and Being,38.00
respicio -ere -spēxī -spectum,"look back, regard, consider",Verb: 3rd Conjugation -iō,Vision,722.00
respondeō -spondēre -spondī -spōnsum,answer,Verb: 2nd Conjugation,Speech/Oratory,535.00
retineō -tinēre -tinuī -tentum,"hold back, keep",Verb: 2nd Conjugation,Verbs of Compelling/Directing,647.00
revertō -vertere -vertī,turn back,Verb: 3rd Conjugation -ō,Motion,995.00
revocō -āre,"call back, recall",Verb: 1st Conjugation,Social Life,813.00
reus -ī m.,defendant,Noun: 2nd Declension,Justice,888.00
rēx rēgis m.,king,Noun: 3rd Declension,The City,60.00
rīdeō -ēre rīsī rīsum,"laugh, laugh at",Verb: 2nd Conjugation,Emotions,874.00
rīpa -ae f.,bank of a river,Noun: 1st Declension,Earth and Water,662.00
rogō -āre,ask,Verb: 1st Conjugation,Speech/Oratory,551.00
rumpō rumpere rūpī ruptum,"break, rupture",Verb: 3rd Conjugation -ō,Violence,480.00
rūrsus,"back, again",Adverb,Place,440.00
rūs rūris n.,country,Noun: 3rd Declension,Geography,879.00
sacer sacra sacrum,"holy, sacred",Adjective: 1st and 2nd Declension,Religion,398.00
sacerdōs -dōtis m./f.,"priest, priestess",Noun: 3rd Declension,Religion,939.00
saeculum -ī n.,"generation, age, century",Noun: 2nd Declension,Lengths of Time,776.00
saepe,often,Adverb,Time,145.00
saevus -a -um,"fierce, raging, wrathful",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,244.00
salūs -ūtis f.,"health, safety",Noun: 3rd Declension,Life and Being,549.00
sānctus -a -um,"sacred, inviolable",Adjective: 1st and 2nd Declension,Religion,659.00
sanguis -inis m.,blood,Noun: 3rd Declension,The Body,214.00
sānus -a -um,"sound, sane",Adjective: 1st and 2nd Declension,Life and Being,946.00
sapiēns -ntis,"wise; (as subst.) wise man, sage, philosopher",Adjective: 3rd Declension,Education/Knowledge,453.00
sapientia -ae f.,wisdom,Noun: 1st Declension,Education/Knowledge,797.00
"satis, sat","enough, sufficient, sufficiently",Adverb,Measurement,341.00
saxum -ī n.,"rock, cliff, crag",Noun: 2nd Declension,Earth and Water,306.00
scelus -eris n.,"crime, sin",Noun: 3rd Declension,Justice,154.00
scientia -ae f.,knowledge,Noun: 1st Declension,Education/Knowledge,971.00
scīlicet,"certainly, of course",Adverb,Conjunctions/Adverbs,889.00
sciō -īre -īvī/-iī -ītum,know,Verb: 4th Conjugation,Education/Knowledge,172.00
scrībō scrībere scrīpsī scrīptum,write,Verb: 3rd Conjugation -ō,Writing/Poetry,568.00
secundus -a -um,following; favorable; (as numeral) second,Adjective: 1st and 2nd Declension,Measurement,836.00
sēcūrus -a -um,"free from care, tranquil; careless",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,697.00
sed,but,Conjunction,Conjunctions/Adverbs,20.00
sedeō sedēre sēdī sessum,sit,Verb: 2nd Conjugation,The House,506.00
sēdēs -is f.,"seat, abode, habitation",Noun: 3rd Declension,The House,403.00
semel,once,Adverb,Time,789.00
semper,"always, ever",Adverb,Time,149.00
senātus -ūs m.,senate,Noun: 4th Declension,The City,329.00
senex -is m.,"old man, elder; senior, older",Noun: 3rd Declension,People,558.00
sēnsus -ūs m.,"feeling, emotion, sense",Noun: 4th Declension,Emotions,793.00
sententia -ae f.,"opinion, judgment",Noun: 1st Declension,Education/Knowledge,586.00
sentiō sentīre sēnsī sēnsum,"perceive, feel, hear, see",Verb: 4th Conjugation,Other Senses,302.00
sepulcrum -ī n.,"place of burial, tomb, grave",Noun: 2nd Declension,Life and Being,949.00
sequor sequī secūtus sum,follow,Verb: Deponent,Motion,108.00
sermō -ōnis m.,"conversation, discourse",Noun: 3rd Declension,Speech/Oratory,575.00
serviō -īre,"be a slave, serve (+ dat.)",Verb: 4th Conjugation,The Household,883.00
servō -āre,"save, watch over",Verb: 1st Conjugation,The Household,289.00
servus -ī m.,slave,Noun: 2nd Declension,The Household,496.00
seu,whether; seu ... seu: whether ... or → sīve,Conjunction,Conjunctions/Adverbs,343.00
sī,if,Conjunction,Conjunctions/Adverbs,16.00
sīc,"in this manner, thus; sīc ... ut: in the same way as",Adverb,Conjunctions/Adverbs,79.00
sīcut,just as,Adverb,Conjunctions/Adverbs,791.00
sīdus -eris n.,"star, constellation",Noun: 3rd Declension,Air and Fire,359.00
sīgnum -ī n.,"sign, standard, mark",Noun: 2nd Declension,War and Peace,261.00
silva -ae f.,"forest, grove",Noun: 1st Declension,Animals/Plants,234.00
similis -e,"like, similar",Adjective: 3rd Declension,Personality Traits/Characteristics,414.00
simul,at the same time,Adverb,Time,274.00
sine,without (+ abl.),Preposition,Non-Directional Prepositions,104.00
singulī -ae -a,one each,Adjective: 1st and 2nd Declension,Measurement,507.00
sinō sinere sīvī situm,"allow, let go",Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing,717.00
sinus -ūs m.,"fold of a garment; lap, bay, gulf",Noun: 4th Declension,Earth and Water,478.00
sīve,whether; sīve ... sīve: whether ... or → seu,Conjunction,Conjunctions/Adverbs,362.00
socius -a -um,"friendly, allied; socius -ī m.: partner, comrade",Adjective: 1st and 2nd Declension,Social Life,372.00
sōl sōlis m.,sun,Noun: 3rd Declension,Air and Fire,320.00
soleō -ēre -uī -itum,be accustomed,Verb: 2nd Conjugation,Personality Traits/Characteristics,246.00
sōlum,"only, merely",Adverb,Measurement,897.00
solvō solvere solvī solūtum,"release, set sail",Verb: 3rd Conjugation -ō,Travel,325.00
sōlus -a -um,"only, alone",Adjective: 1st and 2nd Declension,Measurement,176.00
somnus -ī m.,"sleep, slumber; (pl.) dreams",Noun: 2nd Declension,Life and Being,438.00
sonō sonāre sonuī sonitum,"sound, resound",Verb: 1st Conjugation,Other Senses,583.00
soror -ōris f.,sister,Noun: 3rd Declension,The Household,497.00
sors sortis f.,"lot, fate, destiny; oracle",Noun: 3rd Declension,Religion,639.00
spargō spargere sparsī sparsum,scatter,Verb: 3rd Conjugation -ō,Earth and Water,532.00
spatium -ī n.,space,Noun: 2nd Declension,Air and Fire,426.00
speciēs -ēī f.,"aspect, appearance",Noun: 5th Declension,Vision,599.00
spectō -āre,"look at, consider",Verb: 1st Conjugation,Vision,473.00
spērō -āre,to hope,Verb: 1st Conjugation,Emotions,648.00
spēs speī f.,hope,Noun: 5th Declension,Emotions,232.00
spīritus -ūs m.,"breath, life, spirit",Noun: 4th Declension,Life and Being,703.00
statim,immediately,Adverb,Time,798.00
statuō -ere -uī -ūtum,"set up, determine",Verb: 3rd Conjugation -ō,Justice,678.00
stella -ae f.,star,Noun: 1st Declension,Air and Fire,934.00
stō stāre stetī statum,stand,Verb: 1st Conjugation,Life and Being,168.00
studeō -ēre -uī,"be eager, be zealous, care for (+ dat.)",Verb: 2nd Conjugation,Emotions,989.00
studium -ī n.,"eagerness, zeal",Noun: 2nd Declension,Emotions,450.00
sub,"under, close to (+acc. or abl.)",Preposition,Place,118.00
subeō -īre -iī -itum,go under; endure,Verb: Irregular,Motion,538.00
subitō,"suddenly, unexpectedly",Adverb,Time,848.00
sui sibi sē/sēsē,"him- her- itself, themselves",Pronoun,Pronouns/Interrogatives,17.00
sum esse fuī futūrum,"be, exist; fut. infin. often = fore, impf. subj. often = forem for essem",Verb: Irregular,Life and Being,2.00
sūmō sūmere sūmpsī sūmptum,take up,Verb: 3rd Conjugation -ō,Motion,454.00
super,over (adv. and prep. +acc.),Adverb,Place,401.00
superbus -a -um,"overbearing, proud, haughty",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,656.00
superī -ōrum m. pl.,"those above, i.e. the gods",Noun: 2nd Declension,Religion,714.00
superō -āre,"overcome, surpass, defeat",Verb: 1st Conjugation,War and Peace,668.00
supersum -esse -fuī,"remain, survive; be superfluous (to)",Verb: Irregular,Place,623.00
superus -a -um,"situated above, upper",Adjective: 1st and 2nd Declension,Religion,99.00
supplicium -ī n.,"punishment, penalty",Noun: 2nd Declension,Justice,683.00
suprā,"above, beyond (adv. and prep. +acc.)",Preposition,Place,588.00
surgō surgere surrēxī surrēctum,rise,Verb: 3rd Conjugation -ō,Earth and Water,570.00
suscipiō -cipere -cēpī ceptum,take up,Verb: 3rd Conjugation -iō,Verbs of Transport,937.00
sustineō sustinēre sustinuī sustentum,"hold up, sustain",Verb: 2nd Conjugation,Social Life,762.00
suus -a -um,"his own, her own, its own",Adjective: 1st and 2nd Declension,Pronouns/Interrogatives,27.00
taceō -ēre -uī -itum,"be silent; tacitus -a -um, silent",Verb: 2nd Conjugation,Other Senses,369.00
tālis tāle,such,Adjective: 3rd Declension,Measurement,203.00
tam,"so, so much",Adverb,Conjunctions/Adverbs,96.00
tamen,"nevertheless, still",Conjunction,Conjunctions/Adverbs,58.00
tamquam,"so as, just as",Adverb,Conjunctions/Adverbs,363.00
tandem,finally,Adverb,Conjunctions/Adverbs,427.00
tangō tangere tetigī tāctum,touch,Verb: 3rd Conjugation -ō,Other Senses,534.00
"tantum, tantummodo",only,Adverb,Measurement,216.00
tantus -a -um,"so great, so much; (as pronoun) such a quantity, so much; tantī, at such a price, of such worth",Adjective: 1st and 2nd Declension,Measurement,105.00
tardus -a -um,"slow, sluggish, lingering",Adjective: 1st and 2nd Declension,Time,738.00
tēctum -ī n.,"roof; building, house",Noun: 2nd Declension,The House,386.00
tegō tegere tēxī tēctum,"cover, conceal",Verb: 3rd Conjugation -ō,Deception,376.00
tellus tellūris f.,earth,Noun: 3rd Declension,Earth and Water,337.00
tēlum -ī n.,"missile, weapon, spear",Noun: 2nd Declension,War and Peace,255.00
tempestas -tātis f.,"period of time, season; bad weather, storm",Noun: 3rd Declension,Lengths of Time,753.00
templum -ī n.,consecrated ground; temple,Noun: 2nd Declension,Religion,485.00
tempus -oris n.,time,Noun: 3rd Declension,Time,89.00
tendō tendere tetendī tentum,"stretch, extend, direct (one’s steps or course)",Verb: 3rd Conjugation -ō,Travel,529.00
tenebrae -brārum f. pl.,"darkness, the shadows",Noun: 1st Declension,Vision,775.00
teneō -ēre -uī tentum,"hold, keep",Verb: 2nd Conjugation,Other Senses,106.00
tener -era -erum,tender,Adjective: 1st and 2nd Declension,Other Senses,490.00
temptō -āre,"try, test",Verb: 1st Conjugation,Making/Doing,430.00
tergum -ī n.,"back, rear; ā tergō: from the rear",Noun: 2nd Declension,The Body,474.00
terra -ae f.,land,Noun: 1st Declension,Earth and Water,70.00
terreō terrēre terruī territum,"terrify, frighten",Verb: 2nd Conjugation,Emotions,705.00
tertius -a -um,third,Adjective: 1st and 2nd Declension,Measurement,682.00
testis -is m.,witness,Noun: 3rd Declension,Justice,741.00
timeō -ēre -uī,"to fear, to dread",Verb: 2nd Conjugation,Emotions,153.00
timor -ōris m.,fear,Noun: 3rd Declension,Emotions,536.00
tollō tollere sustulī sublātum,"raise up, destroy",Verb: Irregular,Violence,293.00
tot,so many,Adverb,Measurement,259.00
tōtus -a -um,"whole, entire",Adjective: 1st and 2nd Declension,Measurement,78.00
trādō -dere -didī -ditum,"hand over, yield",Verb: 3rd Conjugation -ō,Business/Money,297.00
trahō trahere trāxī trāctum,"drag, draw",Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing,213.00
trānseō -īre -iī -itum,go across,Verb: Irregular,Travel,431.00
trēs tria,three,Adjective: Numeral,Measurement,533.00
tribūnus -ī m.,"tribune, title of various Roman officials, as mīlitum, plēbis, aerāriī",Noun: 2nd Declension,The City,807.00
trīstis -e,"sad, solemn, grim",Adjective: 3rd Declension,Emotions,275.00
tū tuī tibi tē,you (sing.),Pronoun,Pronouns/Interrogatives,9.00
tum or tunc,then,Adverb,Time,56.00
turba -ae f.,"crowd, uproar",Noun: 1st Declension,The City,323.00
turbō -āre,"disturb, confuse",Verb: 1st Conjugation,Speech/Oratory,868.00
turpis -e,"ugly, unsightly; disgraceful",Adjective: 3rd Declension,Other Senses,377.00
tūtus -a -um,"safe, protected",Adjective: 1st and 2nd Declension,War and Peace,365.00
tuus -a -um,your,Adjective: 1st and 2nd Declension,Pronouns/Interrogatives,44.00
vacō vacāre,"be empty, open, unoccupied",Verb: 1st Conjugation,Measurement,724.00
vacuus -a -um,empty,Adjective: 1st and 2nd Declension,Measurement,673.00
vagus -a -um,"wandering, shifting",Adjective: 1st and 2nd Declension,Travel,674.00
valeō valēre valuī,"be strong, excel, be valid, prevail; valē: farewell!",Verb: 2nd Conjugation,Social Life,539.00
validus -a -um,strong,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,816.00
vanus -a -um,"empty; false, deceitful",Adjective: 1st and 2nd Declension,Deception,856.00
varius -a -um,"changing, varied, various",Adjective: 1st and 2nd Declension,Other Senses,631.00
vātēs -is m.,"poet, bard",Noun: 3rd Declension,Writing/Poetry,684.00
ubi,"where, when",Adverb,Place,92.00
ve,or (postpositive enclitic),Conjunction,Conjunctions/Adverbs,307.00
vehō vehere vēxī vectum,"carry; vehor vehī vectus sum: travel, ride",Verb: 3rd Conjugation -ō,Travel,632.00
vel,"or else, or; even; vel ... vel: either … or",Conjunction,Conjunctions/Adverbs,141.00
velut,"even as, just as",Adverb,Conjunctions/Adverbs,447.00
veniō venīre vēnī ventum,come,Verb: 4th Conjugation,Motion,63.00
ventus -ī m.,wind,Noun: 2nd Declension,Air and Fire,269.00
verbum -ī n.,word,Noun: 2nd Declension,Writing/Poetry,188.00
vērē,truly,Adverb,Speech/Oratory,983.00
vereor verērī veritus sum,"fear, stand in awe of",Verb: Deponent,Emotions,884.00
vērō,"in fact, certainly, without doubt",Adverb,Conjunctions/Adverbs,280.00
vertō vertere vertī versum,turn,Verb: 3rd Conjugation -ō,Motion,288.00
vērus -a -um,true,Adjective: 1st and 2nd Declension,Speech/Oratory,410.00
vester vestra vestrum,your,Adjective: 1st and 2nd Declension,Pronouns/Interrogatives,282.00
vestīgium -ī n.,"footstep, footprint, track",Noun: 2nd Declension,Travel,716.00
vestis -is f.,"garment, robe, clothing",Noun: 3rd Declension,Life and Being,413.00
vetō -āre vetuī vetītum,forbid,Verb: 1st Conjugation,Verbs of Compelling/Directing,665.00
vetus veteris,old,Adjective: 3rd Declension,Time,295.00
via -ae f.,"way, street",Noun: 1st Declension,Travel,196.00
vīcīnus -a -um,"neighboring, near",Adjective: 1st and 2nd Declension,Geography,940.00
victor -ōris m.,conqueror,Noun: 3rd Declension,War and Peace,340.00
victōria -ae f.,victory,Noun: 1st Declension,War and Peace,750.00
videō vidēre vīdī vīsum,see,Verb: 2nd Conjugation,Vision,31.00
vincō vincere vīcī victum,conquer,Verb: 3rd Conjugation -ō,War and Peace,101.00
vinculum -ī n.,"bond, fetter, tie",Noun: 2nd Declension,War and Peace,594.00
vīnum -ī n.,"vine, wine",Noun: 2nd Declension,Animals/Plants,640.00
vir virī m.,man,Noun: 2nd Declension,People,85.00
virgō -inis f.,"maiden, virgin, girl",Noun: 3rd Declension,People,418.00
virtūs -ūtis f.,"valor, manliness, virtue",Noun: 3rd Declension,Personality Traits/Characteristics,111.00
vīs f.,"force; (acc.) vim, (abl.) vī; (pl.) vīrēs, strength",Noun: 3rd Declension,War and Peace,115.00
vīta -ae f.,life,Noun: 1st Declension,Life and Being,87.00
vitium -ī n.,"flaw, fault, crime",Noun: 2nd Declension,Justice,326.00
vītō -āre,"avoid, shun",Verb: 1st Conjugation,Social Life,881.00
vīvō vīvere vīxī vīctum,live,Verb: 3rd Conjugation -ō,Life and Being,156.00
vix,scarcely,Adverb,Conjunctions/Adverbs,352.00
ūllus -a -um,"any, anyone",Adjective: 1st and 2nd Declension,Pronouns/Interrogatives,178.00
ultimus -a -um,"farthest, final, last, ultimate",Adjective: 1st and 2nd Declension,Geography,432.00
ultrā,"beyond, further (adv. and prep. + acc.)",Preposition,Place,600.00
umbra -ae f.,"shade, shadow",Noun: 1st Declension,Vision,257.00
umquam,ever,Adverb,Time,482.00
unda -ae f.,"wave, flowing water, water",Noun: 1st Declension,Earth and Water,207.00
unde,from where,Adverb,Place,300.00
undique,"from all sides, on all sides",Adverb,Place,686.00
ūnus -a -um,one,Adjective: 1st and 2nd Declension,Measurement,53.00
vocō -āre,call,Verb: 1st Conjugation,Speech/Oratory,158.00
volō velle voluī,"wish, be willing",Verb: Irregular,Emotions,66.00
volucer -cris -cre,flying,Adjective: 3rd Declension,Animals/Plants,977.00
volucris -is f./m.,bird,Noun: 3rd Declension,Animals/Plants,976.00
voluntās -ātis f.,"wish, desire",Noun: 3rd Declension,Emotions,859.00
voluptās -ātis f.,"pleasure, enjoyment",Noun: 3rd Declension,Social Life,378.00
vōs,"you (pl.); (gen.) vestrum/vestrī, (dat./abl.) vōbīs, (acc.) vōs",Adjective: 1st and 2nd Declension,Pronouns/Interrogatives,130.00
vōtum -ī n.,"solemn promise, vow; hope",Noun: 2nd Declension,Religion,334.00
vōx vōcis f.,"voice, utterance",Noun: 3rd Declension,Speech/Oratory,169.00
urbs urbis f.,city,Noun: 3rd Declension,The City,82.00
ūsque,up to; continuously,Adverb,Time,527.00
ūsus -ūs m.,"use, experience",Noun: 4th Declension,Education/Knowledge,446.00
"ut, utī","as (+ indic.); so that, with the result that (+ subj.); (in questions) in what manner, how; (exclam.) to what an extent! how!",Adverb,Conjunctions/Adverbs,15.00
uterque utraque utrumque,each of two,Conjunction,Measurement,243.00
ūtilis -e,useful,Adjective: 3rd Declension,Making/Doing,850.00
ūtor ūtī ūsus sum,"use, consume, employ (+ abl.)",Verb: Deponent,Making/Doing,330.00
utrum,whether; utrum ... an: whether ... or,Conjunction,Conjunctions/Adverbs,827.00
vulgō,commonly,Adverb,The City,991.00
vulgus -ī n. and m.,the common people,Noun: 2nd Declension,The City,675.00
vulnus -eris n.,wound,Noun: 3rd Declension,Violence,327.00
vultus -ūs m.,"look, expression, face",Noun: 4th Declension,The Body,209.00
uxor uxōris f.,wife,Noun: 3rd Declension,The Household,552.00
